meterNum,building
G159757451-1,Ahern
G159757449-1,Ahern
G168510733-1,Aquinas
G159836451-1,Avila
G159836449-1,Bellarmine
G159732483-1,Campion
G159730869-1,Claver
G159836450-1,Dorothy Day
G159836439-1,Hopkins
G159836512-1,Lange
G193770168-1,Lange
G159836448-1,Newman East
G158212918-1,Newman West
G159836476-1,Seton
G157817936-1,Seton
G158215523-1,Seton
G159731677-1,Southwell
1405524-1,Seton
891246-1,Ahern
859894-1,Newman East
868752-1,Campion
823890-1,Lange
100096052-1,Hopkins
100139909-1,Lange
891476-1,Southwell